term,caseId,AFortas,AJGoldberg,AMKennedy,AScalia,BRWhite,CEWhittaker,CThomas,DHSouter,EWarren,FFrankfurter,HABlackmun,HHBurton,HLBlack,JHarlan2,JPStevens,LFPowell,PStewart,RBGinsburg,RHJackson,SDOConnor,SFReed,SGBreyer,SMinton,TCClark,TMarshall,WEBurger,WHRehnquist,WJBrennan,WODouglas
1953,1953-004,,,,,,,,,False,False,,False,False,,,,,,True,,False,,False,False,,,,,True
1953,1953-005,,,,,,,,,True,True,,True,True,,,,,,True,,False,,False,True,,,,,True
1953,1953-007,,,,,,,,,False,False,,True,False,,,,,,False,,True,,False,False,,,,,False
1953,1953-011,,,,,,,,,False,True,,False,False,,,,,,True,,False,,True,False,,,,,False
1953,1953-012,,,,,,,,,True,True,,False,True,,,,,,False,,True,,False,True,,,,,True
1953,1953-013,,,,,,,,,,True,,True,True,,,,,,True,,False,,True,True,,,,,False
1953,1953-014,,,,,,,,,False,False,,True,False,,,,,,True,,True,,False,False,,,,,False
1953,1953-015,,,,,,,,,True,False,,True,True,,,,,,True,,True,,False,True,,,,,True
1953,1953-016,,,,,,,,,True,False,,True,False,,,,,,False,,True,,False,True,,,,,False
1953,1953-017,,,,,,,,,True,False,,True,False,,,,,,True,,True,,True,True,,,,,False
1953,1953-018,,,,,,,,,False,False,,False,False,,,,,,False,,False,,False,False,,,,,True
1953,1953-020,,,,,,,,,True,False,,False,False,,,,,,True,,False,,True,True,,,,,False
1953,1953-022,,,,,,,,,False,False,,False,True,,,,,,False,,False,,False,False,,,,,
1953,1953-023,,,,,,,,,False,False,,False,False,,,,,,False,,,,False,False,,,,,True
1953,1953-024,,,,,,,,,False,True,,False,False,,,,,,True,,False,,False,False,,,,,False
1953,1953-025,,,,,,,,,False,False,,False,False,,,,,,False,,True,,False,False,,,,,False
1953,1953-026,,,,,,,,,False,True,,False,True,,,,,,False,,False,,False,False,,,,,False
1953,1953-029,,,,,,,,,True,True,,True,False,,,,,,False,,True,,True,True,,,,,False
1953,1953-033,,,,,,,,,False,False,,False,True,,,,,,False,,False,,False,False,,,,,False
1953,1953-034,,,,,,,,,False,False,,False,True,,,,,,False,,,,True,False,,,,,True
1953,1953-035,,,,,,,,,False,False,,False,True,,,,,,False,,False,,False,False,,,,,True
